pcpt,conf,trial,pcps,blink,perf,tct_cycle,nC,nP,nM,tct_CPM,mem_load,cw_group_4,cw_group_3
p21,DC,1,0.7149706,0.066666667,0.210526316,0.333133852,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p21,DC,2,0.431981002,0.222222222,0.473684211,0.333133852,0.857142857,0,0.714285714,0.622641509,0.78125,Low,Moderate
p21,DC,3,0.662231217,0.155555556,0.421052632,0.333133852,1,0,1,1,1,Moderate,Moderate
p22,DC,1,0.681960218,0.022222222,0.473684211,0.323359266,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p22,DC,2,0.596888128,0.066666667,0.315789474,0.323359266,0.857142857,0,0.714285714,0.811320755,0.78125,High,High
p22,DC,3,0.847289929,0.133333333,0.210526316,0.323359266,0.857142857,0,0.714285714,0.811320755,0.78125,High,High
p23,DC,1,0.327397629,0.777777778,0.157894737,0.457809695,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p23,DC,2,0.255762785,0.466666667,0.368421053,0.457809695,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p23,DC,3,0.403829471,0.577777778,0.421052632,0.457809695,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p24,PR,1,0.586806007,0.644444444,0.315789474,0.175543587,0,0.5,0.142857143,0,0,Moderate,Moderate
p24,PR,2,0.623952844,0.555555556,0.473684211,0.175543587,0,0.5,0.142857143,0,0,High,High
p24,PR,3,0.325812427,0,0.210526316,0.175543587,0.142857143,1,0,0.301886792,0,High,High
p25,CC,1,0.476731902,0.577777778,0.473684211,0.169559146,0,0.5,0.142857143,0,0,Very low,Low
p25,CC,2,0.509441993,0.711111111,0.578947368,0.169559146,0,0.5,0.142857143,0,0,Very low,Low
p25,CC,3,0.388248913,0.622222222,0.526315789,0.169559146,0.142857143,1,0,0.301886792,0,Very low,Low
p26,CC,1,0.291326575,0.688888889,0.473684211,0.181528027,0.142857143,1,0,0.301886792,0,Moderate,High
p26,CC,2,0.148679794,0.555555556,0.526315789,0.181528027,0,0.5,0.142857143,0,0,Moderate,Moderate
p26,CC,3,0.396446117,0.6,0.315789474,0.181528027,0.142857143,1,0,0.301886792,0,Low,Moderate
p27,PR,1,0.268351033,0.044444444,0.315789474,0.001994813,0,0.5,0.142857143,0,0,Low,Moderate
p27,PR,2,0.216162869,0.088888889,0.315789474,0.001994813,0,0.5,0.142857143,0,0,Low,Low
p27,PR,3,0.193334889,0.022222222,0.368421053,0.001994813,0.142857143,1,0,0.301886792,0,Low,Low
p28,CC,1,0.495411798,0.133333333,0.368421053,0.381009376,0,0.5,0.142857143,0,0,Low,Moderate
p28,CC,2,0.078019019,0.222222222,0.421052632,0.381009376,0.142857143,1,0,0.301886792,0,Low,Low
p28,CC,3,0.219126299,0.133333333,0.315789474,0.381009376,0,0.5,0.142857143,0,0,Very low,Low
