pcpt,config,task,trial,PCPS,BR,perf_CRT,TCT_cycle,nC,nP,nM,TCT_CPM,ML,NT,CW_G4,CW_G3,nt_MT,nt_Phy,nt_Tem,nt_Pf,nt_Eff,nt_Frs
p27,CC,CRT,1,0.46,0.24,0.41,0.22,0.22,0.39,0.34,0.65,0,0.52,low,moderate,0.61,0.74,0.29,0.38,0.54,0.84
p27,CC,CRT,2,0.24,0.12,0.29,0.4,0.33,0.51,0.52,0.42,0,0.5,moderate,moderate,0.71,0.59,0.18,0.17,0.62,0.76
p27,CC,CRT,3,0.38,0.17,0.23,0.38,0.17,0.38,0.27,0.45,0,0.55,low,moderate,0.78,0.82,0.32,0.42,0.9,0.4
p28,CC,CRT,1,0.44,0.24,0.23,0.41,0.13,0.49,0.53,0.24,0,0.54,low,moderate,0.75,0.38,0.73,0.28,0.65,0.44
p28,CC,CRT,2,0.23,0.23,0.13,0.39,0.7,0.39,0.33,0.32,0,0.55,low,moderate,0.91,0.75,0.55,0.44,1,0.61
p28,CC,CRT,3,0.34,0.24,0.36,0.35,0.44,0.39,0.51,0.2,0,0.57,moderate,moderate,0.72,0.98,0.64,0.28,0.61,0.46
p29,CC,CRT,1,0.73,0.28,0.06,0.48,0.29,0.38,0.43,0.21,0,0.52,moderate,moderate,0.62,0.63,0.59,0.12,0.7,0.79
p29,CC,CRT,2,0.5,0.29,0.29,0.38,0.41,0.43,0.54,0.56,0,0.54,low,low,0.89,0.75,0.65,0.14,0.81,0.52
p29,CC,CRT,3,0.46,0.16,0.25,0.28,0.51,0.41,0.74,0.39,0,0.53,moderate,high,0.56,0.78,0.68,0.42,0.5,0.68
p30,CC,CRT,1,0.65,0.21,0.25,0.44,0.32,0.37,0.17,0.38,0,0.52,moderate,moderate,0.67,0.53,0.37,0.36,0.63,0.45
p30,CC,CRT,2,0.25,0.19,0.14,0.35,0.33,0.51,0.31,0.49,0,0.51,low,moderate,0.59,0.62,0.28,0.25,0.72,0.65
p30,CC,CRT,3,0.39,0.33,0.31,0.3,0.46,0.48,0.38,0.48,0,0.5,moderate,moderate,0.63,0.81,0.44,0.39,0.63,0.5
P31,CC,CRT,1,0.29,0.11,0.07,0.47,0.39,0.48,0.56,0.4,0,0.5,low,low,0.74,0.57,0.58,0.72,0.57,0.42
P31,CC,CRT,2,0.63,0.24,0.19,0.24,0.35,0.51,0.37,0.46,0,0.51,moderate,moderate,1,0.64,0.52,0.34,0.77,0.61
P31,CC,CRT,3,0.54,0.17,0.23,0.43,0.56,0.34,0.07,0.21,0,0.52,low,moderate,0.87,0.74,0.31,0.48,0.62,0.83
P32,CC,CRT,1,0.51,0.29,0.11,0.69,0.29,0.45,0.27,0.48,0,0.57,moderate,moderate,0.5,0.7,0.42,0.56,0.69,0.9
P32,CC,CRT,2,0.33,0.27,0.3,0.37,0.63,0.54,0.62,0.23,0,0.48,moderate,moderate,0.83,0.68,0.49,0.18,0.7,0.43
P32,CC,CRT,3,0.32,0.14,0.16,0.28,0.48,0.45,0.46,0.47,0,0.56,moderate,moderate,0.61,0.88,0.7,0.5,0.69,0.77
P8,CC,CRT,1,0.32,0.18,0.11,0.27,0.48,0.46,0.33,0.49,0,0.53,low,moderate,0.85,0.73,0.44,0.17,0.7,0.7
P8,CC,CRT,2,0.54,0.16,0.18,0.62,0.48,0.47,0.5,0.21,0,0.53,low,moderate,0.67,0.65,0.44,0.31,0.79,0.43
P8,CC,CRT,3,0.51,0.17,0.17,0.24,0.32,0.42,0.3,0.39,0,0.52,moderate,moderate,0.64,0.46,0.48,0.34,0.76,0.62
