,target,slct_method,feature_count,c,cv_score,op_hyperparameters,train_accuracy,test_accuracy,auc,f1,precision,recall,coef_pcps,coef_blink,coef_perf,coef_tct_cycle,coef_training,coef_CC,coef_DC,coef_PR,sel_pcps,sel_blink,sel_perf,sel_tct_cycle,sel_training,sel_CC,sel_DC,sel_PR
0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,cluster_2,K-Best,1,0.7,0.5452380952380952,{'base_model__C': 0.7},0.5873015873015873,0.6296296296296297,0.3470588235294117,0.3863636363636363,0.3148148148148148,0.5,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,0,0,0,0
2,cluster_2,K-Best,2,3.0,0.5095238095238095,{'base_model__C': 3},0.5873015873015873,0.6296296296296297,0.4352941176470588,0.3863636363636363,0.3148148148148148,0.5,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,1,0,0,0
3,cluster_2,K-Best,3,5.0,0.5428571428571429,{'base_model__C': 5},0.6984126984126984,0.6666666666666666,0.5588235294117647,0.5846153846153846,0.6409090909090909,0.5911764705882353,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,0,1,1,0,0,0
4,cluster_2,K-Best,4,8.0,0.5738095238095238,{'base_model__C': 8},0.6031746031746031,0.7407407407407407,0.3,0.7157894736842105,0.7222222222222222,0.7117647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,1,1,1,0
5,cluster_2,K-Best,5,6.0,0.6071428571428571,{'base_model__C': 6},0.6666666666666666,0.5925925925925926,0.4352941176470588,0.4923076923076923,0.5181818181818182,0.5117647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,0,1,1,1,1,1
6,cluster_2,K-Best,6,4.0,0.5928571428571427,{'base_model__C': 4},0.7301587301587301,0.7037037037037037,0.7176470588235294,0.6666666666666667,0.680921052631579,0.6617647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,1,1,1,1,1,1
7,cluster_2,K-Best,7,3.0,0.6238095238095238,{'base_model__C': 3},0.7301587301587301,0.7037037037037037,0.7176470588235294,0.6666666666666667,0.680921052631579,0.6617647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,1,1,1,1,1,1
8,cluster_2,K-Best,8,0.7,0.6404761904761905,{'base_model__C': 0.7},0.6984126984126984,0.5925925925925926,0.6235294117647059,0.5714285714285714,0.5710227272727273,0.5735294117647058,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,1,1,1,1,1,1,1,1
9,cluster_3,K-Best,1,8.0,0.5166666666666666,{'base_model__C': 8},0.5555555555555556,0.5185185185185185,0.5147701563142739,0.3505747126436782,0.3903508771929824,0.3916666666666666,0.2414204447781079,0.0106704439038587,-0.0281632868784384,-0.0798111517480606,0.0412151360336885,-0.0973003554096571,-0.1447647825883533,0.2420651379980096,0,0,0,1,0,0,0,0
